Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
68,Cambodia,47.44,15.13,32.49,48.28,23.12,10.16
69,Zimbabwe,47.35,9.47,29.82,40.57,37.47,17.01
70,Slovakia,47.32,17.51,33.53,41.92,37.8,45.65
71,Mauritius,47.13,12.05,30.9,49.5,34.7,24.57
72,Lithuania,46.04,14.75,31.56,35.98,45.37,52.8
73,Venezuela,45.96,10.89,29.73,37.69,48.14,13.39
74,Fiji,44.93,17.9,32.42,49.74,38.02,29.4
75,Thailand,44.76,15.27,31.11,45.99,23.47,28.87
76,Guatemala,44.39,16.19,31.34,42.39,33.34,22.17
77,South Africa,44.21,18.25,32.19,37.08,39.95,69.15
78,El Salvador,44.01,14.12,30.18,42.68,36.14,19.21
79,Hungary,42.26,12.79,28.62,35.8,34.48,47.41
80,Nicaragua,41.81,8.68,26.48,40.68,29.92,15.2
81,Dominican Republic,41.79,10.15,27.15,37.66,34.55,18.8
82,Poland,41.75,19.39,31.4,34.11,35.1,43.61
83,Botswana,41.7,10.73,27.37,35.71,46.73,48.96
84,China,41.31,16.67,29.91,45.2,27.47,53.62
85,Honduras,41.29,10.71,27.14,35.34,29.13,28.72
86,Cameroon,40.85,7.65,25.49,41.51,24.26,14.07
87,Iran,40.64,16.73,29.58,35.06,24.37,16.82
88,Montenegro,39.81,12.02,26.95,31.81,32.37,33.1
89,Philippines,39.11,10.41,25.83,38.41,21.72,18
90,Ecuador,38.79,12.07,26.42,36.03,28.66,27.1
91,Bulgaria,38.67,9.56,25.2,34.25,30.59,39.49
92,Ghana,38.53,21.08,30.46,38.73,31.85,16.85
93,Albania,37.73,8.6,24.25,30.88,28.08,25.59
94,Serbia,37.62,9.75,24.73,28.83,30.62,34.16
95,Malaysia,37.52,10.44,24.99,39.02,21.25,50.11
96,Bosnia And Herzegovina,36.95,7.32,23.24,31.17,25.48,38.94
97,Vietnam,36.94,13.94,26.29,37.87,19.18,25.29
98,Romania,36.77,10.91,24.8,32.45,31.54,41.89
99,Russia,36.76,15.3,26.83,30.79,37.17,35.53
100,Mexico,36.74,14.45,26.43,35.04,33.72,31.3
101,Brazil,36.06,9.24,23.65,30.08,27.7,25.13
102,Myanmar,36.04,20.41,28.8,37.24,19.76,12.73
103,Iraq,36.02,11.33,24.59,31.56,29.08,35.9
104,Indonesia,35.95,9.94,23.91,38.01,17.7,19.01
105,Kenya,35.82,10,23.87,32.77,30.37,25.37
106,Morocco,35.58,9.87,23.68,32.13,25.69,29.77
107,Argentina,35.33,8.31,22.83,28.34,34.18,27.68
108,Bolivia,35.15,11.28,24.1,31.23,25.42,33.39
109,Somalia,34.5,5.8,21.22,39.28,26.91,26.16
110,Mongolia,33.73,10.07,22.78,35.16,22.96,24.34
111,Rwanda,33.57,15.77,25.34,28.59,29.37,22.78
112,Tanzania,33.48,13.43,24.2,30.16,25.33,14.97
113,Armenia,33.22,11.61,23.22,26.52,29.65,24.23
114,Peru,33.01,11.27,22.95,31.12,21.77,26.13
115,Bangladesh,33.01,4.76,19.94,30.77,21.22,21.76
116,Zambia,32.94,8.5,21.63,30.85,21.95,41.19
117,Uganda,32.8,8.08,21.36,29.92,24.08,11.56
118,North Macedonia,32.76,6.69,20.7,27.64,22.01,29.92
119,Turkey,31.74,7.42,20.49,26.96,22.41,31.27
120,Belarus,31.58,10.21,21.69,27.12,32.46,29.87
121,Ukraine,31.2,11.57,22.12,26.5,25.35,30.28
122,Moldova,30.72,8.93,20.64,24.48,27.29,29.44
123,Paraguay,30.72,10.68,21.45,24.92,24.87,24.14
124,Sri Lanka,30.41,8.4,20.23,35.83,16.06,18.43
125,Azerbaijan,30.04,8.85,20.23,25.9,28.71,23.1
126,Nigeria,29.63,33.87,31.59,32.45,18.78,8.79
127,Kazakhstan,29.58,9.63,20.35,25.71,27.64,31.62
128,Egypt,29.14,5.98,18.43,26.26,23.84,18.54
129,Tunisia,28.77,5.82,18.15,28.05,16.85,25.42
130,Georgia,28.58,9.64,19.81,25.19,24.83,25.16
131,Colombia,28.12,8.61,19.09,24.1,20.37,25.34
132,Syria,28.05,5.96,17.83,27.75,23.4,6.84
133,Nepal,27.86,4.4,17.01,25.96,19.91,20
134,Algeria,27.84,5.14,17.34,28.93,14.95,22.49
135,Kosovo (Disputed Territory),27.83,8.76,19,25.29,20.92,39.05
136,Afghanistan,27.64,3.64,16.54,19.02,16.34,20.53
137,Uzbekistan,27.1,9.64,19.02,27.06,21.87,19.48
138,India,24.6,5.67,15.84,26.08,18.14,42.16
139,Pakistan,21.88,4.57,13.87,19.71,16.89,24.56
